similitud,pieza_1,no_parte_1,pieza_2,no_parte_2,razon_no_fusion
96.9,NIPLE ACERO AL CARBON DE 2 1/2 * 5,NIPLE -108,NIPLE ACERO AL CARBON DE 2 1/2 * 8,NIPLE -099,Medidas/modelos diferentes
96.9,NIPLE ACERO AL CARBON DE 2 1/2 * 6,NIPLE -100,NIPLE ACERO AL CARBON DE 2 1/2 * 8,NIPLE -099,Medidas/modelos diferentes
96.9,"TEE SOLDABLE NEGRA CED 30 DE 1/2""",TEE SO-056,"TEE SOLDABLE NEGRA CED 40 DE 1/2""",TEE SO-050,Medidas/modelos diferentes
96.9,"TEE SOLDABLE NEGRA CED 30 DE 3/4""",TEE SO-057,"TEE SOLDABLE NEGRA CED 40 DE 3/4""",TEE SO-049,Medidas/modelos diferentes
96.9,TUERCA SEGURIDAD GALVANIZADA 3/8,TUERC-136,TUERCA SEGURIDAD GALVANIZADA 5/8,TUERC-135,Medidas/modelos diferentes
96.9,TORNILLO 1/2*1 1/2 NEGRO GRADO 5,TORNI-047,TORNILLO 1/2*4 1/2 NEGRO GRADO 5,TORNI-053,Medidas/modelos diferentes
96.9,TORNILLO 1/2* 2 1/2 GRADO 8 NEGRO,TORNI-091,TORNILLO 1/2* 3 1/2 GRADO 8 NEGRO,TORNI-092,Medidas/modelos diferentes
96.9,TORNILLO 3/4*1 1/2 GRADO 5 NEGRO,TORNI-073,TORNILLO 3/4*2 1/2 GRADO 5 NEGRO,TORNI-075,Medidas/modelos diferentes
96.9,TORNILLO 3/4*1 1/2 GRADO 5 NEGRO,TORNI-073,TORNILLO 3/4*3 1/2 GRADO 5 NEGRO,TORNI-077,Medidas/modelos diferentes
96.9,TORNILLO 3/4*1 1/2 GRADO 5 NEGRO,TORNI-073,TORNILLO 3/4*4 1/2 GRADO 5 NEGRO,TORNI-079,Medidas/modelos diferentes
96.9,TORNILLO 3/4*1 1/2 GRADO 5 NEGRO,TORNI-073,TORNILLO 3/4*5 1/2 GRADO 5 NEGRO,TORNI-081,Medidas/modelos diferentes
96.9,TORNILLO 3/4*2 1/2 GRADO 5 NEGRO,TORNI-075,TORNILLO 3/4*3 1/2 GRADO 5 NEGRO,TORNI-077,Medidas/modelos diferentes
96.9,TORNILLO 3/4*2 1/2 GRADO 5 NEGRO,TORNI-075,TORNILLO 3/4*4 1/2 GRADO 5 NEGRO,TORNI-079,Medidas/modelos diferentes
96.9,TORNILLO 3/4*2 1/2 GRADO 5 NEGRO,TORNI-075,TORNILLO 3/4*5 1/2 GRADO 5 NEGRO,TORNI-081,Medidas/modelos diferentes
96.9,TORNILLO 3/4*3 1/2 GRADO 5 NEGRO,TORNI-077,TORNILLO 3/4*4 1/2 GRADO 5 NEGRO,TORNI-079,Medidas/modelos diferentes
96.9,TORNILLO 3/4*3 1/2 GRADO 5 NEGRO,TORNI-077,TORNILLO 3/4*5 1/2 GRADO 5 NEGRO,TORNI-081,Medidas/modelos diferentes
96.9,TORNILLO 3/4*4 1/2 GRADO 5 NEGRO,TORNI-079,TORNILLO 3/4*5 1/2 GRADO 5 NEGRO,TORNI-081,Medidas/modelos diferentes
96.9,TORNILLO 5/8*1 1/2 NEGRO GRADO 5,TORNI-065,TORNILLO 5/8*2 1/2 NEGRO GRADO 5,TORNI-067,Medidas/modelos diferentes
96.9,TORNILLO 5/8*1 1/2 NEGRO GRADO 5,TORNI-065,TORNILLO 5/8*3 1/2 NEGRO GRADO 5,TORNI-069,Medidas/modelos diferentes
96.9,TORNILLO 5/8*2 1/2 NEGRO GRADO 5,TORNI-067,TORNILLO 5/8*3 1/2 NEGRO GRADO 5,TORNI-069,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 45°",CODO N-041,"CODO NEGRO SOLDABLE CED 30 2"" *45°",CODO N-039,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 45°",CODO N-041,"CODO NEGRO SOLDABLE CED 30 3""*45°",CODO N-038,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 45°",CODO N-041,"CODO NEGRO SOLDABLE CED 30 4"" *45°",CODO N-037,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 45°",CODO N-041,"CODO NEGRO SOLDABLE CED 30 5"" * 45°",CODO N-036,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 45°",CODO N-041,"CODO NEGRO SOLDABLE CED 40 1"" * 45°",CODO N-024,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 90°",CODO N-033,"CODO NEGRO SOLDABLE CED 30 2"" * 90°",CODO N-031,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 90°",CODO N-033,"CODO NEGRO SOLDABLE CED 30 3"" * 90°",CODO N-030,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 90°",CODO N-033,"CODO NEGRO SOLDABLE CED 30 4"" * 90°",CODO N-029,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 90°",CODO N-033,"CODO NEGRO SOLDABLE CED 30 5"" * 90°",CODO N-028,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 90°",CODO N-033,"CODO NEGRO SOLDABLE CED 30 6"" * 90°",CODO N-027,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 1"" * 90°",CODO N-033,CODO NEGRO SOLDABLE CED 40 1*90°,CODO N-015,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 2"" *45°",CODO N-039,"CODO NEGRO SOLDABLE CED 30 3""*45°",CODO N-038,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 2"" *45°",CODO N-039,"CODO NEGRO SOLDABLE CED 30 4"" *45°",CODO N-037,Medidas/modelos diferentes
